id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_pos_order_pro_forma,pos.order_pro_forma,model_pos_order_pro_forma,point_of_sale.group_pos_user,1,1,1,1
access_pos_order_line_pro_forma,pos.order.line_pro_forma,model_pos_order_line_pro_forma,point_of_sale.group_pos_user,1,1,1,1
access_account_bank_statement_cashbox,account.bank.statement.cashbox,account.model_account_bank_statement_cashbox,point_of_sale.group_pos_manager,1,1,1,1
access_account_cashbox_line,account.cashbox.line,account.model_account_cashbox_line,point_of_sale.group_pos_manager,1,1,1,1
access_minfin_product_template,product.template,point_of_sale.model_product_template,group_minfin_personnel,1,0,0,0
access_minfin_stock_move,stock.move,stock.model_stock_move,group_minfin_personnel,1,0,0,0
access_minfin_stock_warehouse_orderpoint,stock.warehouse.orderpoint,stock.model_stock_warehouse_orderpoint,group_minfin_personnel,1,0,0,0
access_minfin_account_bank_statement,account.bank.statement,account.model_account_bank_statement,group_minfin_personnel,1,0,0,0
access_minfin_account_bank_statement_line,account.bank.statement.line,account.model_account_bank_statement_line,group_minfin_personnel,1,0,0,0
access_minfin_pos_order_line,pos.order.line,point_of_sale.model_pos_order_line,group_minfin_personnel,1,0,0,0
access_minfin_pos_order_pro_forma,pos.order_pro_forma,pos_blackbox_be.model_pos_order_pro_forma,group_minfin_personnel,1,0,0,0
access_minfin_pos_session,pos.session,point_of_sale.model_pos_session,group_minfin_personnel,1,0,0,0
access_minfin_pos_config,pos.config,point_of_sale.model_pos_config,group_minfin_personnel,1,0,0,0
access_minfin_account_journal,account.journal,account.model_account_journal,group_minfin_personnel,1,0,0,0
access_minfin_ir_module_module,ir.module.module,base.model_ir_module_module,group_minfin_personnel,1,0,0,0
access_minfin_groups,res.groups,base.model_res_groups,group_minfin_personnel,1,0,0,0
access_minfin_users,res.users,base.model_res_users,group_minfin_personnel,1,0,0,0
access_minfin_account_move_line,account.move.line,account.model_account_move_line,group_minfin_personnel,1,0,0,0
access_minfin_account_move,account.move,account.model_account_move,group_minfin_personnel,1,0,0,0
access_minfin_restaurant_table,pos_restaurant.table,pos_restaurant.model_restaurant_table,group_minfin_personnel,1,0,0,0
access_minfin_pos_blackbox_log,access_pos_blackbox_be_log,model_pos_blackbox_be_log,group_minfin_personnel,1,0,0,0
access_minfin_pos_order,pos.order,point_of_sale.model_pos_order,group_minfin_personnel,1,0,0,0
access_minfin_pos_order_line_pro_forma,pos.order.line_pro_forma,model_pos_order_line_pro_forma,group_minfin_personnel,1,0,0,0
