code|name|applies_to|active
01010101|No existe en el catálogo|product|TRUE
10101500|Animales vivos de granja|product|FALSE
10101501|Gatos vivos|product|TRUE
10101502|Perros|product|TRUE
10101504|Visón|product|TRUE
10101505|Ratas|product|TRUE
10101506|Caballos|product|TRUE
10101507|Ovejas|product|TRUE
10101508|Cabras|product|TRUE
10101509|Asnos|product|TRUE
10101510|Ratones|product|TRUE
10101511|Cerdos|product|TRUE
10101512|Conejos|product|TRUE
10101513|Cobayas o conejillos de indias|product|TRUE
10101514|Primates|product|TRUE
10101515|Armadillos|product|TRUE
10101516|Ganado vacuno|product|TRUE
10101517|Camellos|product|TRUE
10101600|Pájaros y aves de corral vivos|product|FALSE
10101601|Pollos vivos|product|TRUE
10101602|Patos vivos|product|TRUE
10101603|Pavos vivos|product|TRUE
10101604|Gansos vivos|product|TRUE
10101605|Faisanes vivos|product|TRUE
10101700|Peces vivos|product|FALSE
10101701|Salmones vivos|product|TRUE
10101702|Trucha viva|product|TRUE
10101703|Tilapia viva|product|TRUE
10101704|Carpa viva|product|TRUE
10101705|Anguilas vivas|product|TRUE
10101800|Mariscos e invertebrados acuáticos vivos|product|FALSE
10101801|Camarón vivo|product|TRUE
10101802|Almejas vivas|product|TRUE
10101803|Mejillones vivos|product|TRUE
10101804|Ostras vivas|product|TRUE
10101805|Cangrejos vivos|product|TRUE
10101806|Abulones vivos|product|TRUE
10101807|Pulpo vivo|product|TRUE
10101808|Calamar vivo|product|TRUE
10101809|Sanguijuelas|product|TRUE
10101900|Insectos vivos|product|FALSE
10101901|Mariposas|product|TRUE
10101902|Escarabajos|product|TRUE
10101903|Abejas|product|TRUE
10101904|Gusanos de seda|product|TRUE
10102000|Animales salvajes vivos|product|FALSE
10102001|Elefantes|product|TRUE
10102002|Zorros vivos|product|TRUE
10102100|Huevos de aves para incubar|product|FALSE
10111300|Accesorios, equipo y tratamientos para los animales domésticos|product|FALSE
10111301|Juguetes para mascotas|product|TRUE
10111302|Productos para el aseo y cuidado de mascotas|product|TRUE
10111303|Equipo para el manejo de desperdicios de las mascotas|product|TRUE
10111304|Tazones o equipo para alimentación de mascotas|product|TRUE
10111305|Tratamientos medicados para mascotas|product|TRUE
10111306|Kits para el entrenamiento de mascotas domésticas|product|TRUE
10111307|Cobijas para mascotas|product|TRUE
10121500|Pienso para ganado|product|FALSE
10121501|Salvado de trigo puro|product|TRUE
10121502|Avena para forraje|product|TRUE
10121503|Maíz para forraje|product|TRUE
10121504|Sorgo para forraje|product|TRUE
10121505|Heno|product|TRUE
10121506|Tortas oleaginosas|product|TRUE
10121507|Forraje compuesto|product|TRUE
10121600|Alimento para pájaros y aves de corral|product|FALSE
10121601|Alimento vivo para aves|product|TRUE
10121602|Alpiste|product|TRUE
10121603|Botanas o comida recreacional para aves|product|TRUE
10121604|Alimento avícola|product|TRUE
10121700|Alimento para peces|product|FALSE
10121701|Salmuera fresca o congelada|product|TRUE
10121702|Alimento granulado para peces|product|TRUE
10121703|Alimento en hojuelas para peces|product|TRUE
10121800|Alimento para perros y gatos|product|FALSE
10121801|Comida seca para perros|product|TRUE
10121802|Comida húmeda para perros|product|TRUE
10121803|Leche para perros o gatos|product|TRUE
10121804|Comida seca para gatos|product|TRUE
10121805|Comida húmeda para gatos|product|TRUE
10121806|Botanas o comida recreacional para gatos o perros|product|TRUE
10121900|Alimento para roedores|product|FALSE
10121901|Comida granulada para roedores|product|TRUE
10122000|Alimento para reptiles|product|FALSE
10122001|Comida granulada para reptiles|product|TRUE
10122002|Comida húmeda para reptiles|product|TRUE
10122003|Comida viva para reptiles|product|TRUE
10122100|Comida para animales variados|product|FALSE
10122101|Comida para cerdos|product|TRUE
10122102|Comida para visones|product|TRUE
10122103|Comida para monos|product|TRUE
10122104|Comida para conejos|product|TRUE
10131500|Cobertizos para animales|product|FALSE
10131506|Establos para ganado|product|TRUE
10131507|Casas para mascotas domesticadas|product|TRUE
10131508|Camas para mascotas|product|TRUE
10131600|Recipientes para animales|product|FALSE
10131601|Jaulas o sus accesorios|product|TRUE
10131602|Perreras|product|TRUE
10131603|Equipaje para el transporte de animales|product|TRUE
10131604|Correas para perros|product|TRUE
10131700|Hábitat para animales|product|FALSE
10131701|Terrarios|product|TRUE
10131702|Acuarios|product|TRUE
10141500|Talabartería|product|FALSE
10141501|Sillas de montar|product|TRUE
10141502|Fustas y látigos|product|TRUE
10141503|Herraduras para caballo|product|TRUE
10141504|Herraduras para mula|product|TRUE
10141505|Sillín o pelero|product|TRUE
10141600|Arneses|product|FALSE
10141601|Bridas|product|TRUE
10141602|Yugos|product|TRUE
10141603|Bocados para caballos|product|TRUE
10141604|Riendas|product|TRUE
10141605|Estribos|product|TRUE
10141606|Correas o traíllas|product|TRUE
10141607|Arneses de cuello para animales|product|TRUE
10141608|Arneses o sus accesorios|product|TRUE
10141609|Sujetadores|product|TRUE
10141610|Bozales|product|TRUE
10141611|Soportes para correas|product|TRUE
10151500|Semillas y plántulas vegetales|product|FALSE
10151501|Semillas o plántulas de fríjol|product|TRUE
10151502|Semillas o plántulas de zanahoria|product|TRUE
10151503|Semillas o plántulas de apio|product|TRUE
10151504|Semillas o plántulas de chiles|product|TRUE
10151505|Semillas o plántulas de calabacín|product|TRUE
10151506|Semillas o plántulas de alverja|product|TRUE
10151507|Semillas o plántulas de pepino cohombro|product|TRUE
10151508|Semillas o plántulas de berenjena|product|TRUE
10151509|Semillas o plántulas de endivias|product|TRUE
10151510|Semillas o plántulas de ajo|product|TRUE
10151511|Semillas o plántulas de puerro|product|TRUE
10151512|Semillas o plántulas de lechuga|product|TRUE
10151513|Semillas o plántulas de maíz|product|TRUE
10151514|Semillas o plántulas de melón|product|TRUE
10151515|Semillas o plántulas cebolla|product|TRUE
10151516|Semillas o plántulas de soya|product|TRUE
10151517|Semillas o plántulas de espinaca|product|TRUE
10151518|Semillas o plántulas de tomate|product|TRUE
10151519|Semillas o plántulas de nabo|product|TRUE
10151520|Semillas o plántulas de acelga|product|TRUE
10151521|Semillas o plántulas de pimiento morrón|product|TRUE
10151522|Semillas o plántulas de remolacha|product|TRUE
10151523|Semillas o plántulas de coliflor|product|TRUE
10151524|Semillas o plántulas de perejil|product|TRUE
10151525|Semillas o plántulas de brócoli|product|TRUE
10151526|Semillas o plántulas de repollo|product|TRUE
10151527|Semillas o plántulas de papa|product|TRUE
10151528|Semillas o plántulas de batata|product|TRUE
10151529|Semillas o plántulas de calabaza|product|TRUE
10151530|Semillas o plántulas de rábano|product|TRUE
10151531|Semillas o plántulas de repollitos de bruselas|product|TRUE
10151532|Semillas o plántulas de ahuyama|product|TRUE
10151533|Semillas o plántulas de okra|product|TRUE
10151534|Semillas o plántulas de melón cantalupo|product|TRUE
10151535|Semillas o plántulas de maní|product|TRUE
10151536|Semillas o plántulas de caigua|product|TRUE
10151537|Semillas o plántulas de espárrago|product|TRUE
10151538|Semillas o plántulas de garbanzo|product|TRUE
10151539|Semillas o plántulas de haba|product|TRUE
10151600|Semillas de cereales|product|FALSE
10151601|Semillas de trigo|product|TRUE
10151602|Semillas de canola|product|TRUE
10151603|Semillas de cebada|product|TRUE
10151604|Semillas de mijo|product|TRUE
10151605|Semillas de avena|product|TRUE
10151606|Semillas de ajonjolí|product|TRUE
10151607|Semillas de linaza|product|TRUE
10151608|Semillas de aceite de ricino|product|TRUE
10151609|Semillas de maíz|product|TRUE
10151610|Semillas de centeno|product|TRUE
10151611|Semillas de sorgo|product|TRUE
10151612|Semillas o plántulas de kiwicha|product|TRUE
10151613|Semillas o plántulas de quínoa|product|TRUE
10151700|Semillas y plántulas de hierba y forraje|product|FALSE
10151701|Semillas o plántulas de arroz|product|TRUE
10151702|Semillas o plántulas de trébol|product|TRUE
10151703|Semillas o plántulas de alfalfa|product|TRUE
10151704|Semillas o plántulas de pasto|product|TRUE
10151705|Semillas o plántulas de veza (gachas / guija)|product|TRUE
10151706|Semillas o plántulas de guar|product|TRUE
10151800|Semillas y plántulas de especias|product|FALSE
10151801|Semillas o plántulas de pimienta|product|TRUE
10151802|Semillas o plántulas de vainilla|product|TRUE
10151803|Semillas o plántulas de canela|product|TRUE
10151804|Semillas o plántulas de clavo de olor|product|TRUE
10151805|Semillas o plántulas de cilantro|product|TRUE
10151806|Semillas o plántulas de jengibre|product|TRUE
10151807|Semillas o plántulas de azafrán|product|TRUE
10151808|Semillas o plántulas de tomillo|product|TRUE
10151809|Semillas o plántulas de curry|product|TRUE
10151810|Semillas o plántulas de mostaza|product|TRUE
10151811|Semillas o plántulas de ginseng|product|TRUE
10151812|Semillas o plántulas de champiñones|product|TRUE
10151813|Semillas o plántulas de sacha inchi|product|TRUE
10151814|Semillas o plántulas de achiote|product|TRUE
10151815|Semillas o plántulas de kudzu|product|TRUE
10151816|Semillas o plántulas de albahaca|product|TRUE
10151817|Semillas o plántulas de anís|product|TRUE
10151900|Semillas, bulbos, plántulas y esquejes de flores|product|FALSE
10151901|Semillas, bulbos, plántulas o esquejes de tulipán|product|TRUE
10151902|Semillas, plántulas o esquejes de rosa|product|TRUE
10151903|Semillas, bulbos, plántulas o esquejes de narciso|product|TRUE
10151904|Semillas de girasol|product|TRUE
10151905|Bulbos o tallos de jacinto|product|TRUE
10151906|Bulbos de lirio|product|TRUE
10151907|Semillas o plántulas de veza|product|TRUE
10152000|Semillas y esquejes de árboles y arbustos|product|FALSE
10152001|Semillas o esquejes de árboles frutales|product|TRUE
10152002|Semillas o esquejes de coníferas|product|TRUE
10152003|Semillas o esquejes de árboles de frutos secos|product|TRUE
10152004|Plántulas de latifoliados|product|TRUE
10152005|Plántulas de coníferas|product|TRUE
10152006|Semillas o yemas de pino|product|TRUE
10152007|Semillas o yemas de algarrobo|product|TRUE
10152100|Residuos que no sean de piensos|product|FALSE
10152101|Extracción de los residuos de semilla de babool|product|TRUE
10152102|Residuos de semilla de colza|product|TRUE
10152103|Residuo de semillas de linaza|product|TRUE
10152104|Torta de neem|product|TRUE
10152200|Semillas de cultivos fibrosos y semilleros|product|FALSE
10152201|Semillas o plántulas de algodón|product|TRUE
10152202|Semillas o plántulas de lino|product|TRUE
10152300|Plántulas y semillas de leguminosas|product|FALSE
10152400|Plántulas y semillas de tubérculos|product|FALSE
10161500|Árboles y arbustos|product|FALSE
10161501|Aceitunos|product|TRUE
10161502|Cafetos|product|TRUE
10161503|Cacaoteros|product|TRUE
10161504|Manzanos|product|TRUE
10161505|Peros|product|TRUE
10161506|Naranjos|product|TRUE
10161507|Rododendros|product|TRUE
10161508|Plantas de te|product|TRUE
10161509|Coníferas|product|TRUE
10161510|Abetos rojos (píceas)|product|TRUE
10161511|Pinos|product|TRUE
10161512|Abetos|product|TRUE
10161513|Palmeras|product|TRUE
10161514|Casuarina|product|TRUE
10161515|Ciprés|product|TRUE
10161516|Eucalipto|product|TRUE
10161517|Árbol de quinua|product|TRUE
10161518|Magnolio|product|TRUE
10161519|Mioporo|product|TRUE
10161520|Acalifa|product|TRUE
10161521|Tecomaria capensis o madreselva del cabo|product|TRUE
10161522|Arbusto croton bolaina|product|TRUE
10161523|Abutillón|product|TRUE
10161524|Ficus|product|TRUE
10161525|Lúcumo|product|TRUE
10161526|Aguacatal|product|TRUE
10161527|Guanábano|product|TRUE
10161528|Carambolo|product|TRUE
10161529|Ciruelo|product|TRUE
10161530|Árbol de quince|product|TRUE
10161600|Plantas florales|product|FALSE
10161602|Poinsettias|product|TRUE
10161604|Azaleas|product|TRUE
10161605|Cactos|product|TRUE
10161606|Ageratum púrpura|product|TRUE
10161800|Plantas sin flor|product|FALSE
10161801|Helechos|product|TRUE
10161802|Hiedras|product|TRUE
10161803|Filodendros|product|TRUE
10161804|Líquenes|product|TRUE
10161805|Vides|product|TRUE
10161900|Productos florales secos|product|FALSE
10161901|Vainas secas|product|TRUE
10161902|Follaje seco|product|TRUE
10161903|Helechos secos|product|TRUE
10161905|Ramas y tallos secos|product|TRUE
10161906|Penachos de gramíneas secos|product|TRUE
10161907|Flores secas prensadas|product|TRUE
10161908|Pétalos secos|product|TRUE
10171500|Abonos orgánicos y nutrientes para plantas|product|FALSE
10171501|Estiércol o guano|product|TRUE
10171502|Hormonas para plantas|product|TRUE
10171503|Harina de pescado|product|TRUE
10171504|Abono|product|TRUE
10171505|Nutriente foliar|product|TRUE
10171506|Humus|product|TRUE
10171600|Abonos químicos y nutrientes para plantas|product|FALSE
10171601|Fertilizante nitrogenado|product|TRUE
10171602|Fertilizante de potasio|product|TRUE
10171603|Fertilizante de fósforo|product|TRUE
10171604|Fertilizante de sulfuro|product|TRUE
10171605|Mezclas de nitrógeno – fósforo – potasio – npk|product|TRUE
10171606|Fertilizarte de sílice puro|product|TRUE
10171607|Fertilizante con magnesio|product|TRUE
10171608|Fertilizante micro elemento|product|TRUE
10171609|Fertilizante fosfato de sílice|product|TRUE
10171610|Fertilizante potasio de sílice|product|TRUE
10171611|Fertilizante de calcio|product|TRUE
10171700|Herbicidas|product|FALSE
10171701|Matamalezas|product|TRUE
10171702|Fungicidas|product|TRUE
10171800|Acondicionadores de suelos|product|FALSE
10171801|Acondicionador orgánico de suelos|product|TRUE
10171802|Acondicionador inorgánico de suelos|product|TRUE
10191500|Pesticidas o repelentes de plagas|product|FALSE
10191506|Mata – roedores|product|TRUE
10191507|Repelentes de aves|product|TRUE
10191508|Protectores contra termitas|product|TRUE
10191509|Insecticidas|product|TRUE
10191510|Abamectina|product|TRUE
10191511|Fipronil|product|TRUE
10191700|Dispositivos para control de plagas|product|FALSE
10191701|Trampas para control animal|product|TRUE
10191703|Trampas para el control de insectos voladores|product|TRUE
10191704|Matamoscas|product|TRUE
10191705|Lazos|product|TRUE
10191706|Cepos|product|TRUE
10191707|Repelente ultrasónico de pestes|product|TRUE
10201500|Rosales vivos azules o lavanda o púrpura|product|FALSE
10201501|Rosal vivo allure o sterling 95|product|TRUE
10201502|Rosal vivo amnesia|product|TRUE
10201503|Rosal vivo augusta louise|product|TRUE
10201504|Rosal vivo avant garde|product|TRUE
10201505|Rosal vivo blue bird|product|TRUE
10201506|Rosal vivo curiosa|product|TRUE
10201507|Rosal vivo cool water|product|TRUE
10201508|Rosal vivo delilah|product|TRUE
10201509|Rosal vivo double party|product|TRUE
10201510|Rosal vivo faith|product|TRUE
10201511|Rosal vivo mami blue o mammy blue|product|TRUE
10201512|Rosal vivo marítimo|product|TRUE
10201513|Rosal vivo milano|product|TRUE
10201514|Rosal vivo mistery|product|TRUE
10201515|Rosal vivo ocean song o boyfriend|product|TRUE
10201516|Rosal vivo cezanne púrpura|product|TRUE
10201517|Rosal vivo purple fragrance|product|TRUE
10201518|Rosal vivo sanaa|product|TRUE
10201519|Rosal vivo silverstone|product|TRUE
10201520|Rosal vivo soulmate|product|TRUE
10201521|Rosal vivo stranger|product|TRUE
10201522|Rosal vivo tinted blue|product|TRUE
10201523|Rosal vivo two faces|product|TRUE
10201600|Rosales vivos chocolate o marrón|product|FALSE
10201601|Rosal vivo black lava|product|TRUE
10201602|Rosal vivo cimarron|product|TRUE
10201603|Rosal vivo coffee break|product|TRUE
10201604|Rosal vivo estelle|product|TRUE
10201605|Rosal vivo gypsy leonidas|product|TRUE
10201606|Rosal vivo leonidas|product|TRUE
10201607|Rosal vivo matilda|product|TRUE
10201608|Rosal vivo sunny leonidas|product|TRUE
10201609|Rosal vivo terra nostra|product|TRUE
10201610|Rosal vivo terracotta|product|TRUE
10201700|Rosales vivos crema|product|FALSE
10201701|Rosal vivo advenire|product|TRUE
10201702|Rosal vivo alex|product|TRUE
10201703|Rosal vivo antique brass|product|TRUE
10201704|Rosal vivo aubade|product|TRUE
10201705|Rosal vivo beach|product|TRUE
10201706|Rosal vivo belle pearl|product|TRUE
10201707|Rosal vivo blush de los andes|product|TRUE
10201708|Rosal vivo camel|product|TRUE
10201709|Rosal vivo caramel antike o caramel antique|product|TRUE
10201710|Rosal vivo champagne|product|TRUE
10201711|Rosal vivo clear ocean|product|TRUE
10201712|Rosal vivo combo|product|TRUE
10201713|Rosal vivo creme de la creme|product|TRUE
10201714|Rosal vivo emanuella|product|TRUE
10201715|Rosal vivo evolution|product|TRUE
10201716|Rosal vivo fedora|product|TRUE
10201717|Rosal vivo fenice|product|TRUE
10201718|Rosal vivo french vanilla|product|TRUE
10201719|Rosal vivo hollywood|product|TRUE
10201720|Rosal vivo ilios|product|TRUE
10201721|Rosal vivo jelena|product|TRUE
10201722|Rosal vivo kameleon|product|TRUE
10201723|Rosal vivo kentucky|product|TRUE
